Surname,Firstname,NRS,Box number,Folder number,Full Name,Year appointed silk,Date of correspondence,file number,page number,Digital ID,Archives Investigator link,Digital ID url
Flannery,George Ernest,NRS302_333,10/42918,[16],George Ernest Flannery,1920,,,16,NRS302_333_a127_10_42918_[16]_00016,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[16]_00016
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,07 Apr 1938,GAC.38/931.AGB,4,NRS302_333_a127_10_42917_[25]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00004
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,08 Apr 1938,GAC.38/875.AGB,6,NRS302_333_a127_10_42917_[25]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00006
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,04 Mar 1938,38/875,,NRS302_333_a127_10_42917_[25]_00007a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00007a
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,04 Mar 1938,38/875,,NRS302_333_a127_10_42917_[25]_00007b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00007b
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,08 Apr 1938,GAC.38/931.AGB,8,NRS302_333_a127_10_42917_[25]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00008
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,25 Mar 1938,GAC.38/931.AGB,9,NRS302_333_a127_10_42917_[25]_00009,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00009
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,10 Mar 1938,GAC.38/931.AGB,10,NRS302_333_a127_10_42917_[25]_00010,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00010
Fuller,Bryan Cecil,NRS302_333,10/42917B,[41],Bryan Cecil Fuller,1938,18 Nov 1942,,15,NRS302_333_a127_10_42917_[41]_00015,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[41]_00015
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,25 Mar 1938,GAC.38/931.AGB,11,NRS302_333_a127_10_42917_[25]_00011,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00011
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,25 Mar 1938,GAC.38/931.AGB,12,NRS302_333_a127_10_42917_[25]_00012,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00012
Fuller,Bryan Cecil,NRS302_333,10/42917B,[25],Bryan Cecil Fuller,1938,08 Apr 1938,GAC.38/931.AGB,13,NRS302_333_a127_10_42917_[25]_00013,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[25]_00013
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,02 Mar 1910,,14,NRS302_333_a127_10_42918_[08]_00014,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00014
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,02 Mar 1910,,15,NRS302_333_a127_10_42918_[08]_00015,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00015
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,01 Mar 1910,10/2906,16,NRS302_333_a127_10_42918_[08]_00016,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00016
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,02 Mar 1910,,20,NRS302_333_a127_10_42918_[08]_00020,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00020
Gannon,James Conley,NRS302_333,10/42918,[13],James Conley Gannon,1910,14 Feb 1916,,21,NRS302_333_a127_10_42918_[13]_00021,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00021
Gannon,James Conley,NRS302_333,10/42918,[13],James Conley Gannon,1910,28 Feb 1916,16/754,14,NRS302_333_a127_10_42918_[13]_00014,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00014
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,25 Feb 1910,10/2353,22,NRS302_333_a127_10_42918_[08]_00022,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00022
Gannon,James Conley,NRS302_333,10/42918,[12],James Conley Gannon,1910,31 Mar 1913,,1,NRS302_333_a127_10_42918_[12]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[12]_00001
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,25 Feb 1910,10/2353,23,NRS302_333_a127_10_42918_[08]_00023,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00023
Gannon,James Conley,NRS302_333,10/42918,[9],James Conley Gannon,1910,18 Feb 1910,,20,NRS302_333_a127_10_42918_[09]_00020,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[09]_00020
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,25 Feb 1910,10/2281,24,NRS302_333_a127_10_42918_[08]_00024,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00024
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,04 Mar 1910,10/2906,7,NRS302_333_a127_10_42918_[08]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00007
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,03 Mar 1910,,8,NRS302_333_a127_10_42918_[08]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00008
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,14 Feb 1910,10/2281,26,NRS302_333_a127_10_42918_[08]_00026,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00026
Gannon,James Conley,NRS302_333,10/42918,[8],James Conley Gannon,1910,01 Jan 1910,,9,NRS302_333_a127_10_42918_[08]_00009,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00009
Gannon,James Conley,NRS302_333,10/42918,[13],James Conley Gannon,1910,20 Feb 1916,,19,NRS302_333_a127_10_42918_[13]_00019,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00019
Gardiner,A.R.,NRS302_333,10/42917B,[42],A.R. Gardiner,,24 Jul 1914,,49,NRS302_333_a127_10_42917_[42]_00049,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[42]_00049
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,14 Feb 1910,10/2223,31,NRS302_333_a127_10_42918_[08]_00031,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00031
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,10 Jun 1909,10/8732,,NRS302_333_a127_10_42918_[08]_00032a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00032a
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,10 Jun 1909,10/8732,,NRS302_333_a127_10_42918_[08]_00032b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00032b
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,02 Mar 1910,,14,NRS302_333_a127_10_42918_[08]_00014,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00014
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,12 Jun 1909,10/8732,33,NRS302_333_a127_10_42918_[08]_00033,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00033
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,14 Jun 1909,10/9491,34,NRS302_333_a127_10_42918_[08]_00034,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00034
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,02 Mar 1910,,15,NRS302_333_a127_10_42918_[08]_00015,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00015
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,02 Mar 1910,,20,NRS302_333_a127_10_42918_[08]_00020,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00020
Garland,John,NRS302_333,10/42918,[13],John Garland,1910,14 Feb 1916,,21,NRS302_333_a127_10_42918_[13]_00021,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00021
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,01 Mar 1910,,21,NRS302_333_a127_10_42918_[08]_00021,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00021
Garland,John,NRS302_333,10/42918,[13],John Garland,1910,28 Feb 1916,16/754,14,NRS302_333_a127_10_42918_[13]_00014,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00014
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,25 Feb 1910,10/2353,22,NRS302_333_a127_10_42918_[08]_00022,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00022
Garland,John,NRS302_333,10/42918,[12],John Garland,1910,31 Mar 1913,,1,NRS302_333_a127_10_42918_[12]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[12]_00001
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,25 Feb 1910,10/2353,23,NRS302_333_a127_10_42918_[08]_00023,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00023
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,10 Mar 1910,,1,NRS302_333_a127_10_42918_[08]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00001
Garland,John,NRS302_333,10/42918,[9],John Garland,1910,18 Feb 1910,,20,NRS302_333_a127_10_42918_[09]_00020,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[09]_00020
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,04 Mar 1910,10/2906,4,NRS302_333_a127_10_42918_[08]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00004
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,25 Feb 1910,10/2223,24,NRS302_333_a127_10_42918_[08]_00024,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00024
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,03 Mar 1910,,8,NRS302_333_a127_10_42918_[08]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00008
Garland,John,NRS302_333,10/42918,[8],John Garland,1910,01 Jan 1910,,12,NRS302_333_a127_10_42918_[08]_00012,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00012
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,17 Feb 1932,F.32/35.AGB,,NRS302_333_a127_10_42917_[02]_00005b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00005b
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,17 Feb 1932,F.32/35.AGB,6,NRS302_333_a127_10_42917_[02]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00006
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,17 Feb 1932,F.32/,7,NRS302_333_a127_10_42917_[02]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00007
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,29 Feb 1932,V.32/1256.AGB,8,NRS302_333_a127_10_42917_[02]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00008
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,01 Nov 1911,,9,NRS302_333_a127_10_42917_[02]_00009,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00009
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,13 Feb 1932,V.32/1256.AGB,,NRS302_333_a127_10_42917_[02]_00010a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00010a
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,17 Feb 1932,V.32/1256.AGB,,NRS302_333_a127_10_42917_[02]_00010b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00010b
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,11 Jan 1932,32/288,,NRS302_333_a127_10_42917_[02]_00011a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00011a
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,11 Jan 1932,32/288,,NRS302_333_a127_10_42917_[02]_00011b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00011b
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,12 Jan 1932,32/288,,NRS302_333_a127_10_42917_[02]_00011c,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00011c
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,11 Jan 1932,32/,12,NRS302_333_a127_10_42917_[02]_00012,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00012
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,11 Jan 1932,32/35,,NRS302_333_a127_10_42917_[02]_00013a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00013a
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,05 Jan 1932,32/35,,NRS302_333_a127_10_42917_[02]_00013b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00013b
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,05 Jan 1932,32/35.AGB,14,NRS302_333_a127_10_42917_[02]_00014,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00014
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,08 Jan 1932,F.32/35.AGB,15,NRS302_333_a127_10_42917_[02]_00015,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00015
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,30 Aug 1932,32/7363,,NRS302_333_a127_10_42917_[02]_00001a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00001a
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,01 Sep 1932,32/7363,,NRS302_333_a127_10_42917_[02]_00001b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00001b
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,01 Sep 1932,32/7363,2,NRS302_333_a127_10_42917_[02]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00002
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,17 Feb 1932,F.32/35.AGB,3,NRS302_333_a127_10_42917_[02]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00003
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,02 Mar 1932,32/1309,4,NRS302_333_a127_10_42917_[02]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00004
Garran,Robert Randolph,NRS302_333,10/42917A,[2],Robert Randolph Garran,1932,22 Feb 1932,F.32/35.AGB,,NRS302_333_a127_10_42917_[02]_00005a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[02]_00005a
Gordon,Alexander,NRS302_333,10/42918,[4],Alexander Gordon,1904,03 Mar 1904,4/2662,23,NRS302_333_a127_10_42918_[04]_00023,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00023
Gordon,Alexander,NRS302_333,10/42918,[5],Alexander Gordon,1904,01 Mar 1905,4/2662,15,NRS302_333_a127_10_42918_[05]_00015,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00015
Gordon,Alexander,NRS302_333,10/42918,[4],Alexander Gordon,1904,23 Feb 1904,4/2457,26,NRS302_333_a127_10_42918_[04]_00026,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00026
Gordon,Alexander,NRS302_333,10/42918,[4],Alexander Gordon,1904,17 Feb 1904,4/2457,28,NRS302_333_a127_10_42918_[04]_00028,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00028
Gordon,Alexander,NRS302_333,10/42918,[13],Alexander Gordon,1904,14 Feb 1916,,21,NRS302_333_a127_10_42918_[13]_00021,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00021
Gordon,Alexander,NRS302_333,10/42918,[5],Alexander Gordon,1904,30 May 1905,15/8529,2,NRS302_333_a127_10_42918_[05]_00002,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00002
Gordon,Alexander,NRS302_333,10/42918,[7],Alexander Gordon,1904,04 Mar 1907,,8,NRS302_333_a127_10_42918_[07]_00008,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00008
Gordon,Alexander,NRS302_333,10/42918,[5],Alexander Gordon,1904,30 May 1905,15/8529,3,NRS302_333_a127_10_42918_[05]_00003,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00003
Gordon,Alexander,NRS302_333,10/42918,[12],Alexander Gordon,1904,31 Mar 1913,,1,NRS302_333_a127_10_42918_[12]_00001,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[12]_00001
Gordon,Alexander,NRS302_333,10/42918,[5],Alexander Gordon,1904,11 May 1905,5/7213,9,NRS302_333_a127_10_42918_[05]_00009,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\85,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00009
Hamilton,Hugh Montgomery,NRS302_333,10/42918,[6],Hugh Montgomery Hamilton,,19 Feb 1904,,2,NRS302_333_a127_10_42918_[06]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[06]_00002
Hamilton,Hugh Montgomery,NRS302_333,10/42918,[4],Hugh Montgomery Hamilton,,16 Feb 1904,4/887,14,NRS302_333_a127_10_42918_[04]_00014,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00014
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,17 Mar 1926,JS26/1125.AGB,10,NRS302_333_a127_10_42917_[05]_00010,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00010
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,30 Mar 1926,26/1126 26/1546,11,NRS302_333_a127_10_42917_[05]_00011,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00011
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,13 Mar 1926,h.26/1126 AGB,12,NRS302_333_a127_10_42917_[05]_00012,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00012
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,11 Mar 1926,h.26/1126 AGB,15,NRS302_333_a127_10_42917_[05]_00015,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\206,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00015
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,01 Mar 1926,,18,NRS302_333_a127_10_42917_[05]_00018,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\206,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00018
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,01 Mar 1926,,19,NRS302_333_a127_10_42917_[05]_00019,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\206,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00019
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,01 Mar 1926,,20,NRS302_333_a127_10_42917_[05]_00020,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\206,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00020
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,11 Mar 1926,h.26/1126 AGB,1,NRS302_333_a127_10_42917_[05]_00001,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00001
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,11 Mar 1926,h.26/1126 AGB,2,NRS302_333_a127_10_42917_[05]_00002,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00002
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,29 Mar 1926,h.26/1126 AGB,4,NRS302_333_a127_10_42917_[05]_00004,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00004
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,17 Mar 1926,JS26/1125.AGB,6,NRS302_333_a127_10_42917_[05]_00006,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00006
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,23 Feb 1926,26/1125,,NRS302_333_a127_10_42917_[05]_00007a,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00007a
Hammond,John Harold,NRS302_333,10/42917A,[5],John Harold Hammond,1926,23 Feb 1926,26/1125,,NRS302_333_a127_10_42917_[05]_00007b,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\199,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[05]_00007b
Hardie,Martin Francis,NRS302_333,10/42917B,[49],Martin Francis Hardie,1947,26 Feb 1947,47/790,1,NRS302_333_a127_10_42917_[49]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[49]_00001
Hardie,Martin Francis,NRS302_333,10/42917B,[49],Martin Francis Hardie,1947,14 Aug 1947,GAC.SMC.47/790.AGB,2,NRS302_333_a127_10_42917_[49]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[49]_00002
Hardie,Martin Francis,NRS302_333,10/42917B,[49],Martin Francis Hardie,1947,14 Aug 1947,GAC.SMC.47/790.AGB,3,NRS302_333_a127_10_42917_[49]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[49]_00003
Hardie,Martin Francis,NRS302_333,10/42917B,[49],Martin Francis Hardie,1947,11 Aug 1947,GAC.SMC.47/790.AGB,4,NRS302_333_a127_10_42917_[49]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[49]_00004
Hardie,Martin Francis,NRS302_333,10/42917B,[49],Martin Francis Hardie,1947,11 Aug 1947,GAC.SMC.47/790.AGB,5,NRS302_333_a127_10_42917_[49]_00005,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[49]_00005
Hardie,Martin Francis,NRS302_333,10/42917B,[49],Martin Francis Hardie,1947,24 Jul 1947,GAC.SMC.47/790.AGB,6,NRS302_333_a127_10_42917_[49]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[49]_00006
Hardie,Martin Francis,NRS302_333,10/42917B,[49],Martin Francis Hardie,1947,24 Jul 1947,GAC.SMC.47/790.AGB,7,NRS302_333_a127_10_42917_[49]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[49]_00007
Hardie,Martin Francis,NRS302_333,10/42917B,[49],Martin Francis Hardie,1947,26 Aug 1947,47/3892,8,NRS302_333_a127_10_42917_[49]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[49]_00008
Hardwick,Charles Aubrey,NRS302_333,10/42917A,[18],Charles Aubrey Hardwick,1934,22 Aug 1934,MWA.34/6713.AGB,14,NRS302_333_a127_10_42917_[18]_00014,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\191,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[18]_00014
Hardwick,Charles Aubrey,NRS302_333,10/42917A,[18],Charles Aubrey Hardwick,1934,22 Aug 1934,MWA.34/6713.AGB,16,NRS302_333_a127_10_42917_[18]_00016,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\191,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[18]_00016
Hardwick,Charles Aubrey,NRS302_333,10/42917A,[18],Charles Aubrey Hardwick,1934,22 Aug 1934,MWA.34/6713.AGB,18,NRS302_333_a127_10_42917_[18]_00018,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\191,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[18]_00018
Hardwick,Charles Aubrey,NRS302_333,10/42917A,[18],Charles Aubrey Hardwick,1934,23 Aug 1934,MWA.34/6713.AGB,20,NRS302_333_a127_10_42917_[18]_00020,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\191,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[18]_00020
Hardwick,Charles Aubrey,NRS302_333,10/42917A,[18],Charles Aubrey Hardwick,1934,23 Aug 1934,,22,NRS302_333_a127_10_42917_[18]_00022,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\191,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[18]_00022
