Surname,FirstName,Dates,Locality,Reel,Item,Remarks,ID
PEPPERCORNE,F S,3 Oct 1853-31 Nov 1855,"Casino, Richmond River",3083,[2/1568.2],,103
RALFE,James,31 Jan 1826-25 Nov 1834,"Muswellbrook, Port Macquarie, Port Stephens, Saint Hellier, Tuggerah",3084,[2/1569A],,104
RALFE,James,1 Feb 1835- 26 Dec 1837,"Muswellbrook, Port Macquarie, Port Stephens, Saint Hellier, Tuggerah",3084,[2/1569B],,105
RALFE,James,1 Jan 1838-1 Dec 1843,"Muswellbrook, Port Macquarie, Port Stephens, Saint Hellier, Tuggerah",3084,[2/1570A],,106
RALFE,James,15 March1853-31 Dec 1855,"Muswellbrook, Port Macquarie, Port Stephens, Saint Hellier, Tuggerah",3085,[2/1570B],,107
RAPER,Felix V,26 Aug 1854,Carcoar,3085,[2/1571.1],,108
RAPER,Felix V,20 Jan 1855-Dec 1855,,3085,[2/1571.2],,109
RAWNSLEY,Henry Charles,13 Dec 1841-17 May 1854,Sydney-City,3085,[2/1571.3],,110
RICHARDS,J B,17 Jan 1831-13 May 1834,"Bathurst, Bilpin, Kurrajong, Parramatta, Windsor",3086,[2/1573A],,112
RICHARDS,J B,27 Apr 1836-28 Sept 1837,"Bathurst, Bilpin, Kurrajong, Parramatta, Windsor",3086,[2/1573B],,113
RICHARDS,James B,21 Jul 1824-31 Dec 1830,"Bathurst, Bilpin, Kurrajong, Parramatta, Windsor",3085,[2/1572],,111
ROBERTS,William,4 May 1853-26 Dec 1855,"Brisbane, Gosford, Moreton Bay",3086,[2/1574.1],,114
RODD,John,12 Jun 1826,,3086,[2/1574.2],,115
ROGERS,John,7 Feb 1829-30 Dec 1853,"Goulburn, Molong, Newcastle, Ravensworth, Wolombi",3087,[2/1574.3],,116
ROGERS,John,31 Dec 1853-24 Dec 1855,"Goulburn, Molong, Newcastle, Ravensworth, Wolombi",3087,[2/1575.1],,117
RUSDEN,Francis Townsend,1 Feb 1831-4 Dec 1837,"Blue Mountains, Bolong, Hunters River",3087,[2/1575.2],,118
RUSDEN,Francis Townsend,2 Jan 1838-221 Jun 1843,"Blue Mountains, Bolong, Hunters River",3088,[2/1576],,119
RUSSELL,Robert,23 Nov 1833-31 Dec 1835,Sydney Town,3088,[2/1577A],,120
RUSSELL,Robert,2 Jan 1836-14 Sept 1848,Sydney Town,3088,[2/1577B],,121
SHONE,William,14 Dec 1841-29 Dec 1848,"Clarence River, Cordeaux River, Gosford, Great South Road, Illawarra, Lake Macquarie, Liverpool, Mangrove Creek, North Shore (Sydney), Parramatta, Richmond, Sydney",3089,[2/1578A],,122
SHONE,William,"6 Jan 1849- 4 Feb 1852, 23 Feb 1854-31 Dec 1855, 8 Jul 1847, 28 Jul 1847","Clarence River, Cordeaux River, Gosford, Great South Road, Illawarra, Lake Macquarie, Liverpool, Mangrove Creek, North Shore (Sydney), Parramatta, Richmond, Sydney",3089,[2/1578B],,123
SIMPSON,John McNeil,2 Dec 1854,,3089,[2/1579.1],,124
SIMPSON,Percy,"2 Apr 1828, Feb 1830-15 Nov 1830, 16 Apr 1832-6 Dec 1833","Lower Portland Head, Parramatta Depot",3090,[2/1579.2],,125
SIMPSON,Percy,2 Jan 1834-28 Dec 1835,"Lower Portland Head, Parramatta Depot",3090,[2/1580],,126
SIMPSON,Percy,"6 Jan 1836-26 Mar 1839, 21 Mar 1842","Lower Portland Head, Parramatta Depot",3091,[2/1581],,127
STAPYLTON,Granville Chetwynd,4 Jan 1830-20 Jun 1840,"Abercrombie River, Bathurst, Bilpin, Coogee, Crookwell River, Kiama, Kurrajong, Moreton Bay, Mount Lindsay, Murrumbidgee River, Nelson Bay, Yass",3091,[2/1582A],,128
TOWNSEND,Thomas Scott,"25 Mar 1831- 3 Nov 1831, 29 Jan 1834-26 Dec 1837","Albury, Crookwell River, Deniliquin, Eden, Goulburn, Gunning, Melbourne, Murrumbidgee District, N.S.W. – Victoria boundary Pambula, Snowy Mountains, Sydney, Tumut, Wagga, Yass",3091,[2/1582B],,129
TOWNSEND,Thomas Scott,1 Jan 1838- 8 Dec 1842,"Albury, Crookwell River, Deniliquin, Eden, Goulburn, Gunning, Melbourne, Murrumbidgee District, N.S.W. – Victoria boundary, Pambula, Snowy Mountains, Sydney,Tumut, Wagga, Yass",3092,[2/1583A],,130
TOWNSEND,Thomas Scott,2 Feb 1843-31 Dec 1848,"Albury, Crookwell River, Deniliquin, Eden, Goulburn, Gunning, Melbourne, Murrumbidgee District, N.S.W. – Victoria boundary, Pambula, Snowy Mountains, Sydney,Tumut, Wagga, Yass",3092,[2/1583B],,131
TOWNSEND,Thomas Scott,5 Feb 1849-7 Jul 1854,"Albury, Crookwell River, Deniliquin, Eden, Goulburn, Gunning, Melbourne, Murrumbidgee District, N.S.W. – Victoria boundary, Pambula, Snowy Mountains, Sydney,Tumut, Wagga, Yass",3093,[2/1584A],,132
TRESS,William J,11 May 1855-31 Dec 1855,Bathurst,3093,[2/1584B],,133
TYERS,Charles I,16 Oct 1841,Portland Bay,3093,[2/1585.1],,134
WADE,Henry,"15 Dec 1841- 2 Dec 1844, 9 Jan 1846-11 Oct 1847",Moreton Bay,3093,[2/1585.2],,135
WARNER,James,17 Jan 1839-26 Dec 1848,Moreton Bay,3094,[2/1586],,136
WARNER,James,22 Jan 1849-15 Dec 1856,Moreton Bay,3094,[2/1587A],,137
WEDGE,Charles,29 Dec 1840,Port Phillip,3095,[2/1588.1],,139
WEEVER,Thomas,20 Oct 1853-31 Dec 1855,"Braidwood, Bungendore, Murrumbidgee River, Parramatta, Queanbeyan, Shoalhaven River",3095,[2/1587B],,138
WHITAKER,Charles Sheppard,15 Jul 1839-15 Dec 1855,Richmond,3098,[2/1594.2],,149
WHITE,George Boyle,10 Mar 1826-26 Dec 1833,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3095,[2/1588.2],,140
WHITE,George Boyle,5 Jan 1834-31 Dec 1836,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3095,[2/1589],,141
WHITE,George Boyle,1 Jan 1837- 8 Dec 1839,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3096,[2/1590A],,142
WHITE,George Boyle,1 Jan 1840-19 Dec 1842,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3096,[2/1590B],,143
WHITE,George Boyle,13 Jan 1843-31 Dec 1846,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3096,[2/1591A],,144
WHITE,George Boyle,5 Jan 1847-20 Dec 1854,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3097,[2/1591B],,145
WHITE,Henry F,31 Dec 1829-4 Dec 1835,"Lord Howe Island, Port Macquarie, Sydney, Windsor",3097,[2/1592],,146
WHITE,Henry F,7 Jan 1836-26 Jun 1839,"Lord Howe Island, Port Macquarie, Sydney, Windsor",3097,[2/1593],,147
WHITE,Thomas,15 Jan 1842-23 Jul 1842,Clarence River,3098,[2/1594.1],,148
WILLIAMS,H A,2 Dec 1853+28Dec 1853,Bellevue,3098,[2/1594.3],,150
WILSON,C Moore,15 Jul 1841-31 Jan 1844,Clarence River,3098,[2/1595.1],,151
WILSON,W.C.B.,8 Jan 1840-31 Dec 1855,"Clarence River, Grafton",3098,[2/1595.2],,152
WOOD,Arthur F,12 May 1853-31 Dec 1855,"Jamberoo, Kiama, Shoalhaven",3098,[2/1595.3],,153
WOOLRYCH,Francis B W,31 Jul 1855-31 Dec 1855,"Binalong, Lachlan District",3098,[2/1596.1],,154
WRIGHT,Henry W,11 Dec 1838- 9 Jun 1843,Murrumbidgee River,3098,[2/1596.2],,155
ZOUCH,Arthur,30 Apr 1855-30 Dec 1855,Yass,3098,[2/1596.3],,156
